Subject,gender,exp,TimeRaw,TimeTrimmed,IdleTime,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited_short10,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent,ObjectRevisits20,Revisiting20,ObjectEfficiency20
1_92,F,1,18662,18445,9981,4123.937970923647,305.0,0.501192221027425,339686.7105499999,5,4,6,6,7,1,7.27557603686636,0.3045269037446922,1.0161178075183137,4,0,1,1,0.0739584353960805,0.0012124333671488,0.1677991679176688,0.0,1,8.872756844673352,0.0014549200405786333
1_93,M,1,17111,17063,6761,5138.366915130455,322.0,0.5139728905984049,309698.52604999987,6,4,9,9,12,3,60.05450389732169,0.2337740548622379,1.009964802515442,1,0,2,2,0.0626658246323044,0.0011676861732727,0.1240745743850815,0.0,3,79.69389907988044,0.001751529259909129
1_96,F,1,15637,15518,5998,4745.567080243367,354.0,0.530422483534507,607844.1642500015,7,4,9,10,13,3,5.287214847274133,0.1086423000095654,1.0022376321919375,3,0,0,0,0.0745959321645171,0.001475060805513,0.1264598805923258,0.0,4,7.763436009795076,0.0018965067499453518
1_97,F,1,14842,14650,5690,4398.948068721431,281.0,0.5259013520121616,358266.8451000002,5,4,6,9,13,4,16.277337883959046,0.3482350774763443,1.0191692321239203,0,0,5,3,0.0638789082321841,0.0011366353777968,0.1600439779627162,0.0,7,28.551262798634813,0.0013639624533562454
1_98,M,1,17392,17299,8208,4508.527672235115,292.0,0.5078473952667749,335504.78150000016,7,4,9,12,17,5,13.10278050754379,0.416022979764684,1.03298961359582,2,0,5,2,0.0647661545471318,0.001552613293938,0.1317772998692116,0.0,8,19.07670963639517,0.0019962170922061184
1_100,M,1,16882,16821,7804,4486.616301470211,313.0,0.5104843818908971,330326.24275,6,4,9,10,13,4,13.719517270079068,0.2869045659521719,1.014552904896282,2,1,1,0,0.0697630416707204,0.0013373107029531,0.1309817708560416,0.0,4,20.36828963795256,0.002005966054429662
1_102,F,1,16556,16496,7416,4511.544733480205,296.0,0.5148193330146319,332530.0372999998,5,3,7,11,16,6,178.7827352085354,0.1990345710305618,1.0073125202325512,3,1,3,0,0.0656094569568117,0.0011082678540001,0.1383391971665754,0.0,9,211.30855965082444,0.0015515749956002767
1_104,F,1,13602,13536,4393,4539.126188192479,333.0,0.5582956549721149,343227.1879499997,6,4,9,6,12,0,20.680851063829788,0.1432999170387166,1.0033521058881938,2,0,1,0,0.0733621375995725,0.0013218403171094,0.1343236511709296,0.0,3,59.431515957446805,0.0019827604756641236
1_105,M,1,16014,15637,8060,3762.845242462317,234.0,0.5049642840710455,236387.3476999999,4,3,7,7,13,3,28.67039713500032,0.2064364844315342,1.0062497764286666,1,1,0,0,0.0621869848271718,0.001063025381661,0.1350419371056714,0.0,6,50.125855343096504,0.0018602944179068512
1_106,M,1,17950,17916,8063,4905.5887392382565,281.0,0.4983083652778063,293117.8168499999,7,4,8,9,16,2,21.768475106050456,0.2596738749795677,1.0118150454040815,2,0,1,1,0.0572816057229522,0.0014269439148066,0.126912090625365,0.0,8,32.035889707524,0.0016307930454933011
