Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NS,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,TimeRawTrimmed,TimeTrimmed,IdleTime,PathLength_Y,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent
576,48.0,male,Pink,PinkGreen,novel,deep,15.0,3.0,7.0,3.0,7.0,1608,1080,1009,528,34.299999999999955,214.88523356765722,16.0,0.3952081654806783,3333.836840473334,8.0,11.0,9.0,12.0,1.0,7.303270564915758,0.4025846236492654,1.0193809698239518,1,0,0,0,0.0744583503219748,0.0372291751609874,0.30791159936488643,0.0
577,8.0,male,Pink,PinkPink,familiar,deep,9.0,7.0,9.0,7.0,9.0,1419,1220,1291,925,23.29999999999997,157.5145021380984,11.0,0.2957848584855282,1364.2549644800004,5.0,8.0,6.0,13.0,1.0,15.26568551510457,0.47776114795713753,1.0254427424569148,1,1,0,0,0.06983483965403972,0.031743108933654424,0.32810768814797153,0.0
578,8.0,male,Green,GreenPink,novel,deep,13.0,9.0,9.0,9.0,9.0,2763,2324,1263,796,39.900000000000006,235.46777291407633,16.0,0.3344304849053584,3413.6600636444446,9.0,9.0,13.0,10.0,4.0,3.5328582739509105,0.4533827769770863,1.0377931340033006,2,1,2,2,0.06794985063980921,0.03822179098489268,0.2929184069532935,0.0
579,29.0,female,Pink,PinkGreen,novel,deep,12.0,9.0,9.0,9.0,9.0,1610,1310,1222,458,54.79999999999991,375.41978812364465,24.0,0.4788781215771492,3983.0233444133332,10.0,13.0,17.0,22.0,7.0,27.506546644844516,0.40154723480770876,1.019804334113,3,0,0,0,0.06392843627117384,0.02663684844632243,0.28699840972097895,0.0
580,10.0,male,Green,GreenGreen,familiar,deep,11.0,8.0,9.0,7.0,8.0,2834,2499,1324,397,69.49999999999999,456.27174920355753,29.0,0.5154830002607754,7027.264220635556,14.0,15.0,20.0,23.0,6.0,16.51283987915408,0.46606049242355096,1.0298826833664094,4,0,1,0,0.0635586140290754,0.030683468841622603,0.34061725594411957,0.0
581,45.0,female,Pink,PinkPink,familiar,deep,18.0,2.0,7.0,3.0,7.0,1519,1354,1338,889,26.499999999999957,169.6358461646634,16.0,0.39252823405176257,1888.2333859200007,8.0,9.0,9.0,9.0,1.0,13.09865470852018,0.3149681710872116,1.0129354619679938,1,0,1,1,0.09431968750560539,0.047159843752802695,0.35254641642342277,0.0
582,47.0,male,Pink,PinkPink,familiar,deep,27.0,6.0,8.0,4.0,7.0,1804,1611,1341,389,70.79999999999994,402.1430319372501,28.0,0.5120828514400975,7861.171179420001,10.0,12.0,12.0,16.0,2.0,4.865026099925429,0.5696819270145952,1.0508698187740828,0,0,3,1,0.06962696795992,0.0248667742714,0.38059260166614955,0.0
583,12.0,male,Pink,PinkGreen,novel,deep,9.0,7.0,6.0,7.0,7.0,2000,1877,1409,458,65.79999999999993,420.41832107400353,33.0,0.515418113510565,6525.205433748893,11.0,13.0,14.0,17.0,3.0,4.9751596877217885,0.5750071001200823,1.0409303694697907,0,0,4,2,0.07849324909461122,0.026164416364870408,0.46650096982125155,0.0010660980810234541
584,11.0,male,Green,GreenPink,novel,deep,14.0,6.0,7.0,7.0,8.0,2796,2096,1126,175,85.79999999999998,507.73588086459597,36.0,0.5636913088287931,7950.593960444442,14.0,18.0,19.0,22.0,5.0,13.779751332149202,0.37179610861252854,1.022802229321764,1,0,1,1,0.07090300559160315,0.027573391063401224,0.3197934764665518,0.00047732696897374703
585,21.0,male,Pink,PinkPink,familiar,deep,28.0,6.0,7.0,5.0,5.0,1563,1231,1183,183,78.09999999999994,448.1246959609315,41.0,0.6147948710523924,8238.823459475556,15.0,16.0,16.0,20.0,1.0,0.8241758241758241,0.440782586977079,1.0227267438652823,0,0,0,0,0.09149239122401429,0.033472826057566206,0.31300276230029145,0.0
586,14.0,male,Green,GreenPink,novel,deep,4.0,6.0,8.0,6.0,8.0,2580,2236,1301,306,302.3,508.4863596629533,30.0,0.5381194144539195,7498.563861564443,12.0,15.0,18.0,18.0,6.0,12.906225980015373,0.5007387608204894,1.0351227024441947,2,0,4,3,0.058998632765459615,0.023599453106183846,0.3117717773779955,0.0
587,11.0,male,Pink,PinkGreen,novel,deep,12.0,7.0,9.0,7.0,9.0,1496,1340,1345,1000,30.899999999999974,143.82000628898598,13.0,0.28273778654171605,1214.2800783333332,6.0,9.0,7.0,9.0,1.0,1.0810408921933086,0.5475965061802165,1.031262887947716,0,0,0,0,0.09039076228294926,0.0417188133613612,0.35094586735229405,0.0
588,43.0,female,Pink,PinkPink,familiar,deep,23.0,4.0,8.0,4.0,8.0,1865,1579,1271,647,55.69999999999995,296.54171548476523,20.0,0.41336580095975556,2987.3455303822225,9.0,10.0,13.0,18.0,4.0,8.877261998426436,0.7528731354382864,1.069765263890845,1,0,3,2,0.0674441367121163,0.030349861520452333,0.3284843726700633,0.0
589,8.0,male,Green,GreenGreen,familiar,deep,10.0,7.0,7.0,5.0,5.0,3022,2385,1185,525,61.19999999999999,348.59239009579335,25.0,0.4793215232510489,6273.98025244,12.0,13.0,15.0,15.0,3.0,14.951054852320675,0.3826724490895671,1.0242417662420817,1,0,0,0,0.07171699873634645,0.03442415939344629,0.35021396812918515,0.0
590,11.0,female,Pink,PinkPink,familiar,deep,11.0,9.0,8.0,8.0,8.0,1617,1435,1333,653,45.299999999999955,293.7617768613626,21.0,0.44401407138958066,3834.5769573333346,9.0,10.0,13.0,13.0,4.0,14.366841710427607,0.324411971655256,1.0111975336124643,2,2,1,1,0.07148649570536436,0.030637069588013297,0.3783718495881591,0.0
591,10.0,male,Green,GreenPink,novel,deep,7.0,6.0,7.0,6.0,7.0,2536,2069,1225,934,25.800000000000004,138.56737606355938,7.0,0.18146393513688833,573.219576,4.0,4.0,6.0,6.0,2.0,190.96408163265306,0.7823094794400297,1.0667342384495695,1,0,0,0,0.05051694128053038,0.0288668235888745,0.29648897441487987,0.0
