Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NoveltySeeking,ExploratoryExcitability,Impulsiveness,Extravagance,Disorderliness,Total,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,IdleSteps2d,DistanceTravelledY,DistanceTravelled2d_100ms,AreaCoveredRaw_14,RoamingEntropy_14,ObjectsVisited10,ObjectVisits10,RevisitingGagnon14,StepLengthCoeffVar,LagStepsPercent3xMedian,LagStepsPercent4xMedian,LagStepsPercent5xMedian,trimLoss,SinuosityRediscretized,FractalDimension,numTurningPointsFlight150,numTurningPointsFlight160,numTurningPointsFlight170,numTurningPointsFlight180,numTurningPointsRaw150,numTurningPointsRaw160,numTurningPointsRaw170,numTurningPointsRaw180
553.0,43.0,female,Pink,PinkPink,familiar,deep,18.0,7.0,3.0,4.0,4.0,18.0,3.0,8.0,5.0,8.0,1564,725,57.09999999999995,357.95821810896797,26.0,0.5126654788352669,10.0,13.0,15.697387518142236,0.308171808556011,0.0,0.0,0.0,123,0.3048551360680703,1.014092376923947,2,1,1,0,1,1,0,0
554.0,13.0,female,Green,GreenGreen,familiar,deep,10.0,,,,,,4.0,7.0,4.0,7.0,2464,659,64.20000000000002,411.9134957837848,27.0,0.499281271554641,12.0,16.0,23.84241103848947,0.3300587471753689,0.0,0.0,0.0,124,0.4101247346376023,1.0246609973251988,1,1,1,0,2,1,1,1
555.0,9.0,female,Green,GreenGreen,familiar,deep,10.0,,,,,,5.0,7.0,5.0,7.0,2730,515,80.1,498.86645242351574,31.0,0.5250614691872288,14.0,22.0,24.93553223388306,0.3045385715970483,0.0,0.0,0.0,167,0.3780785933274335,1.0180116200571354,2,2,2,0,1,1,1,1
556.0,11.0,female,Pink,PinkGreen,novel,deep,12.0,,,,,,7.0,9.0,7.0,6.0,1490,649,58.79999999999991,415.83314258177404,26.0,0.484629814894523,11.0,17.0,37.280353200883,0.2610275001853169,0.0,0.0,0.0,142,0.40432390872211443,1.0228510865174378,4,4,2,0,0,0,0,0
557.0,48.0,male,Green,GreenPink,novel,deep,14.0,2.0,2.0,4.0,6.0,14.0,1.0,7.0,1.0,7.0,3623,1442,5.799999999999999,29.910490441123525,3.0,0.05624738661471314,3.0,4.0,0.06127946127946128,0.3167024595654177,0.0,0.0,0.0,16,0.18188611417997874,1.002937237192757,0,0,0,0,0,0,0,0
558.0,13.0,male,Pink,PinkPink,familiar,deep,10.0,,,,,,1.0,8.0,1.0,8.0,1881,953,37.59999999999997,227.2595002780036,21.0,0.4419026762506615,9.0,9.0,5.741097922848665,0.4301407463428755,0.0,0.0,0.0,153,0.47146194447411144,1.0281410661258494,0,0,0,0,1,0,0,0
559.0,11.0,male,Green,GreenGreen,familiar,deep,9.0,,,,,,3.0,4.0,3.0,3.0,2800,312,355.4,608.1730206460123,43.0,0.5993208503913318,13.0,17.0,6.927921092564492,0.33827892768798734,0.0,0.0,0.0,183,0.4628767576471428,1.0331285101488692,0,0,0,0,1,1,0,0
560.0,8.0,male,Pink,PinkGreen,novel,deep,13.0,,,,,,9.0,5.0,9.0,9.0,2399,1088,37.299999999999976,194.0025719912358,12.0,0.3189354992461382,4.0,5.0,1.5712177121771218,0.4916260893525168,0.0,0.0,0.0,146,0.8835488869151747,1.0957873164853078,2,1,1,0,0,0,0,0
561.0,9.0,male,Pink,PinkPink,familiar,deep,15.0,,,,,,4.0,8.0,1.0,8.0,1632,341,117.29999999999991,541.513922399144,42.0,0.5901794766488696,13.0,17.0,9.12761355443403,0.3345428174334935,0.0,0.0,0.0,114,0.4171218901716648,1.0244640574292723,2,1,1,1,3,2,2,2
562.0,43.0,female,Green,GreenPink,novel,deep,26.0,7.0,5.0,6.0,8.0,26.0,3.0,7.0,3.0,5.0,2775,500,76.5,455.6567217054058,29.0,0.530526515858777,11.0,16.0,19.469430780042163,0.33161654330264656,0.0,0.0,0.0,78,0.29643495725351926,1.0138194051515566,0,0,0,0,1,1,0,0
563.0,11.0,male,Pink,PinkGreen,novel,deep,8.0,,,,,,6.0,8.0,7.0,7.0,1541,1013,34.799999999999955,235.58198340569172,17.0,0.4166635518855284,6.0,8.0,16.27803738317757,0.2744636757839331,0.0,0.0,0.0,217,0.34860201766750937,1.0114898610628482,2,2,1,0,1,1,1,1
565.0,44.0,female,Pink,PinkPink,familiar,deep,12.0,5.0,1.0,3.0,3.0,12.0,2.0,7.0,2.0,7.0,1389,1263,14.399999999999974,84.1380540655762,5.0,0.22623847048920395,4.0,5.0,36.35523809523809,0.30607616305654217,0.0,0.0,0.0,451,0.3973392667001893,1.0285087452851736,1,1,1,0,0,0,0,0
567.0,8.0,female,Green,GreenPink,novel,deep,13.0,,,,,,1.0,7.0,1.0,2.0,2821,1309,13.2,76.59658087348794,7.0,0.29768482666342544,4.0,4.0,0.025952960259529603,0.3193511947758138,0.0,0.0,0.0,268,0.2564394244904063,1.0048114088762738,0,0,0,0,0,0,0,0
568.0,21.0,male,Green,GreenGreen,familiar,deep,25.0,8.0,6.0,4.0,7.0,25.0,6.0,8.0,7.0,8.0,2942,1037,37.199999999999996,231.83051796259912,16.0,0.38878932845855335,8.0,11.0,36.932156133829,0.3423143901363525,0.0,0.0,0.0,425,0.4545612750167039,1.027051361081345,1,1,1,1,0,0,0,0
569.0,12.0,male,Pink,PinkGreen,novel,deep,16.0,,,,,,5.0,8.0,7.0,8.0,1618,738,56.799999999999926,366.81594420144575,30.0,0.5139781496978686,11.0,13.0,6.3346065699006875,0.34274574023593934,0.0,0.0,0.0,192,0.33407750522205015,1.0136411155278204,2,2,1,0,0,0,0,0
570.0,11.0,male,Pink,PinkPink,familiar,deep,8.0,,,,,,4.0,7.0,5.0,4.0,1642,468,72.99999999999989,503.2178314841494,33.0,0.5420219216548616,11.0,17.0,19.402961808261885,0.34969127494959085,0.0,0.0,0.0,218,0.3613494042191191,1.019320540427017,3,3,3,1,1,1,0,0
571.0,15.0,male,Pink,PinkGreen,novel,deep,10.0,,,,,,7.0,8.0,7.0,8.0,1495,614,62.4999999999999,444.96174144853387,23.0,0.47548488983482007,10.0,20.0,33.220657276995304,0.25621090120626816,0.0,0.0,0.0,223,0.46964565917550755,1.0314326539561398,4,3,3,1,2,2,1,1
572.0,10.0,male,Pink,PinkPink,familiar,deep,10.0,,,,,,1.0,9.0,1.0,9.0,1800,468,80.99999999999991,535.1393888625478,38.0,0.56867278848678,14.0,20.0,12.520497803806736,0.35316165885129686,0.0,0.0,0.0,135,0.2837786107499325,1.0127753461223228,2,2,2,1,1,1,0,0
573.0,11.0,female,Green,GreenGreen,familiar,deep,9.0,,,,,,3.0,1.0,1.0,9.0,3059,902,47.199999999999996,287.5959700976776,15.0,0.37803898578478096,7.0,12.0,46.000748502994014,0.38379384864902427,0.0,0.0,0.0,165,0.6543987735876092,1.0502864132393093,2,2,1,0,2,1,1,1
574.0,10.0,female,Green,GreenPink,novel,deep,8.0,,,,,,6.0,7.0,5.0,7.0,2543,835,51.0,335.27569076042175,25.0,0.5126078706257555,12.0,16.0,9.42169728783902,0.28694159210997683,0.0,0.0,0.0,358,0.42768902522923047,1.0217815809935216,4,4,3,0,3,3,3,3
575.0,66.0,female,Pink,PinkPink,familiar,deep,23.0,8.0,7.0,1.0,7.0,23.0,7.0,7.0,6.0,8.0,1714,1320,13.399999999999993,57.73727745489936,5.0,0.24215085377431497,1.0,2.0,83.34824281150159,0.3892116440440372,0.0,0.0,0.0,249,0.44418239457959946,1.0246763983775544,1,0,0,0,0,0,0,0
576.0,48.0,male,Pink,PinkGreen,novel,deep,15.0,5.0,2.0,4.0,4.0,15.0,3.0,7.0,3.0,7.0,1608,1020,33.99999999999996,214.88523356765722,16.0,0.3952081654806783,8.0,9.0,7.303270564915758,0.30791159936488643,0.0,0.0,0.0,492,0.4025846236492654,1.0199480015142193,1,1,1,0,0,0,0,0
577.0,8.0,male,Pink,PinkPink,familiar,deep,9.0,,,,,,7.0,9.0,7.0,9.0,1419,1135,22.79999999999997,157.5145021380984,11.0,0.2957848584855282,5.0,6.0,15.26568551510457,0.32810768814797153,0.0,0.0,0.0,210,0.47776114795713753,1.0244969119651839,1,1,1,1,0,0,0,0
578.0,8.0,male,Green,GreenPink,novel,deep,13.0,,,,,,9.0,9.0,9.0,9.0,2763,1034,38.900000000000006,235.46777291407633,16.0,0.3344304849053584,9.0,13.0,3.5328582739509105,0.2929184069532935,0.0,0.0,0.0,238,0.4533827769770863,1.032109516926511,3,2,2,1,2,2,2,2
579.0,29.0,female,Pink,PinkGreen,novel,deep,12.0,5.0,0.0,5.0,2.0,12.0,9.0,9.0,9.0,9.0,1610,737,54.299999999999926,375.41978812364465,24.0,0.4788781215771492,10.0,17.0,27.506546644844516,0.28699840972097895,0.0,0.0,0.0,279,0.40154723480770876,1.0193109341683977,4,3,2,0,0,0,0,0
580.0,10.0,male,Green,GreenGreen,familiar,deep,11.0,,,,,,8.0,9.0,7.0,8.0,2834,574,68.5,456.27174920355753,29.0,0.5154830002607754,14.0,20.0,16.51283987915408,0.34061725594411957,0.0,0.0,0.0,177,0.46606049242355096,1.0315443466477898,6,4,3,0,1,1,0,0
581.0,45.0,female,Pink,PinkPink,familiar,deep,18.0,2.0,6.0,6.0,4.0,18.0,2.0,7.0,3.0,7.0,1519,1052,25.999999999999957,169.6358461646634,16.0,0.39252823405176257,8.0,9.0,13.09865470852018,0.35254641642342277,0.0,0.0,0.0,163,0.3149681710872116,1.0118511613054564,1,1,1,0,1,1,1,1
582.0,47.0,male,Pink,PinkPink,familiar,deep,27.0,7.0,5.0,7.0,8.0,27.0,6.0,8.0,4.0,7.0,1804,549,70.29999999999995,402.1430319372501,28.0,0.5120828514400975,10.0,12.0,4.865026099925429,0.38059260166614955,0.0,0.0,0.0,160,0.5696819270145952,1.05041422109316,0,0,0,0,3,3,2,1
583.0,12.0,male,Pink,PinkGreen,novel,deep,9.0,,,,,,7.0,6.0,7.0,7.0,2000,550,65.29999999999993,420.41832107400353,33.0,0.515418113510565,11.0,13.0,4.9751596877217885,0.46650096982125155,0.0,0.0,0.0,92,0.5750071001200823,1.0397341132005737,0,0,0,0,4,4,4,2
584.0,11.0,male,Green,GreenPink,novel,deep,14.0,,,,,,6.0,7.0,7.0,8.0,2796,550,84.79999999999998,507.73588086459597,36.0,0.5636913088287931,15.0,20.0,13.779751332149202,0.3197934764665518,0.0,0.0,0.0,375,0.37179610861252854,1.0224894238180693,1,1,1,0,2,1,1,1
585.0,21.0,male,Pink,PinkPink,familiar,deep,28.0,9.0,6.0,5.0,8.0,28.0,6.0,7.0,5.0,5.0,1563,501,77.59999999999994,448.1246959609315,41.0,0.6147948710523924,15.0,15.0,0.8241758241758241,0.31300276230029145,0.0,0.0,0.0,318,0.440782586977079,1.0220999178091064,0,0,0,0,0,0,0,0
586.0,14.0,male,Green,GreenPink,novel,deep,4.0,,,,,,6.0,8.0,6.0,8.0,2580,506,301.3,508.4863596629533,30.0,0.5381194144539195,12.0,18.0,12.906225980015373,0.3117717773779955,0.0,0.0,0.0,200,0.5007387608204894,1.0364269361640797,2,2,1,0,4,4,4,3
